Ingredient,Count
,1
 and dried,1
 casings removed,2
 chopped,1
 cleaned,1
 cubed,5
 divided,1
 drained,7
 drained and chopped,1
 drained and finely chopped,1
 drained and mashed,1
 for topping,1
 ground,1
 halved,1
 julienned,1
 lean,1
 mashed,1
 peeled and cubed,1
 peeled and julienned,1
 peeled and segmented,1
 peeled and shredded,2
 rinsed,1
 rinsed and dried,1
 rinsed and torn,1
 seasoned croutons,1
 soaked,5
 split,1
 split and toasted,1
 stemmed and rinsed,1
 thawed,3
 to taste,2
 warmed,1
 washed and cubed,1
 without shells,1
'crust:,1
'crust:,2
'ladyfingers,1
'streusel:,1
adobo seasoning to taste,1
alcoholic,1
almond,579
amaretto,41
anchovy,22
anise,60
apple,462
apple juice,149
applesauce,110
apricot,111
artichoke,75
artificial sweetener,15
arugula,4
asparagus,38
avocado,77
bacon,340
bake,298
baking mix,73
baking powder,1292
baking soda,1431
banana,284
barbecue sauce,34
barbeque seasoning,2
barley,43
basil,374
bass,4
batter,1
bay leaf,192
bean,457
beef,308
beef rib,2
beef shank,3
beef tenderloin,11
beer,107
beet,19
bell pepper,857
berry,24
biscuit,29
bitters,7
black pepper,1447
blackberry,31
blue cheese,34
blueberry,110
boil,8
bok choy,11
bottom layer,1
bottom layer:,1
bourbon,40
bran,8
brandy,82
bread,669
breadcrumbs,1
breakfast,9
brine,1
brisket,12
broccoli,196
broccoli rabe,1
brown rice,24
brown sugar,1686
brownie,17
brussel sprout,1
bulgur,5
butter,4456
buttermilk,237
butternut squash,12
cabbage,145
cacao,8
cajun seasoning,30
cake,372
calories,1
calvados,1
campari,3
candy,22
canola oil,45
cantaloupe,13
capers,27
caramel,65
caraway,35
cardamom,46
carrot,654
cashew,39
cauliflower,50
celery,828
center:,1
cereal,206
champagne,13
chard,5
cheddar,663
cheese,476
cherry,395
chestnut,84
chicken,1448
chicken broth,416
chickpea,14
chile,75
chile pepper,239
chili,318
chill,18
chive,59
chocolate,1677
cilantro,209
cinnamon,1387
citron,21
citrus,14
clam,64
clove,378
cobbler topping:,1
cocktail,58
cocktail sauce,24
cocoa,33
cocoa powder,477
coconut,537
cod,27
coffee,153
cola,38
collard greens,4
cookie,27
cookies,35
cooking spray,2
coriander,34
corn,296
corn oil,14
corn syrup,269
cornmeal,99
cornstarch,367
cottage cheese,93
couscous,10
crab,142
crackers,1
cranberry,181
cranberry sauce,52
cream,713
cream cheese,991
creole seasoning to taste,4
creole-style seasoning to taste,1
crepes,2
crescent roll,41
crust:,2
crust:,2
cucumber,120
cumin,226
currant,45
curry,114
custard,11
dairy,2
date,128
dessert,5
dill,149
dip,1
dough,29
dressing,1
dried fruit,1
drinks,27
dry mix ingredients,1
duck,4
duck sauce,3
egg,4880
eggplant,45
endive,2
england,3
escarole,5
fajita seasoning to taste,1
fat,3
fat free,26
fennel,25
fig,21
file powder (see note),1
filling,1
filling,8
filling:,3
filling:,3
fish,16
flour,4158
fontina,5
food coloring,142
for the icing:,1
for the streusel:,1
for the swiss meringue:,1
frosting:,2
frosting:,3
frozen dessert,1
fruit,113
fruit juice,16
fry,72
fry sauce,1
ganache,1
ganache:,1
garlic,2116
gelatin,72
ghee,2
gin,18
ginger,461
glaze,1
gluten,6
goat cheese,13
golden syrup,10
goose,3
grains,66
grand marnier,5
granola,10
grape,87
grapefruit,5
gravy,16
green bean,120
