Ingredient,Count,Category,Base Unit
ladyfingers,1,Fruits,g
streusel,1,"Grain, nuts and baking products",g
adobo seasoning,1,Others,g
almond,579,"Grain, nuts and baking products",g
amaretto,41,Others,ml
anchovy,22,"Meat, sausages and fish",g
anise,60,Herbs and spices ,g
apple,462,Fruits,g
apple juice,149,Fruits,ml
applesauce,110,Others,g
apricot,111,Fruits,g
artichoke,75,Vegetables ,g
artificial sweetener,15,Others,ml
arugula,4,Vegetables ,g
asparagus,38,Vegetables ,g
avocado,77,Fruits,whole
bacon,340,"Meat, sausages and fish",g
baking mix,73,"Grain, nuts and baking products",g
baking powder,1292,"Grain, nuts and baking products",g
baking soda,1431,"Grain, nuts and baking products",g
banana,284,Fruits,whole
barbecue sauce,34,Others,ml
barbeque seasoning,2,Others,g
barley,43,"Grain, nuts and baking products",g
basil,374,Herbs and spices ,g
bass,4,"Meat, sausages and fish",g
batter,1,"Grain, nuts and baking products",g
bay leaf,192,Herbs and spices ,g
bean,457,Vegetables ,g
beef,308,"Meat, sausages and fish",g
beef rib,2,"Meat, sausages and fish",g
beef shank,3,"Meat, sausages and fish",g
beef tenderloin,11,"Meat, sausages and fish",g
beer,107,Others,ml
beet,19,Vegetables ,g
bell pepper,857,Vegetables ,g
berry,24,Fruits,g
biscuit,29,"Grain, nuts and baking products",g
bitters,7,Others,ml
black pepper,1447,Herbs and spices ,g
blackberry,31,Fruits,g
blue cheese,34,"Eggs, milk and milk products",g
blueberry,110,Fruits,g
bok choy,11,Vegetables ,g
bourbon,40,Others,ml
bran,8,"Grain, nuts and baking products",g
brandy,82,Others,ml
bread,669,"Pasta, rice and pulses  ",g
brine,1,Others,ml
brisket,12,"Meat, sausages and fish",g
broccoli,196,Vegetables ,g
broccoli rabe,1,Vegetables ,g
brown rice,24,"Pasta, rice and pulses ",g
brown sugar,1686,"Grain, nuts and baking products",g
brownie,17,Others,whole
brussel sprout,1,Vegetables ,g
bulgur,5,"Grain, nuts and baking products",g
butter,4456,Fats and oils,g
buttermilk,237,"Eggs, milk and milk products",ml
butternut squash,12,Fruits,g
cabbage,145,Vegetables ,g
cacao,8,"Grain, nuts and baking products",g
cajun seasoning,30,Others,g
cake,372,"Grain, nuts and baking products",whole
calvados,1,Others,ml
campari,3,Others,ml
candy,22,Others,g
canola oil,45,Fats and oils,ml
cantaloupe,13,Vegetables ,g
capers,27,Herbs and spices ,g
caramel,65,"Grain, nuts and baking products",g
caraway,35,Herbs and spices ,g
cardamom,46,Herbs and spices ,g
carrot,654,Vegetables ,g
cashew,39,"Grain, nuts and baking products",g
cauliflower,50,Vegetables ,g
celery,828,Vegetables ,g
cereal,206,Others,g
champagne,13,Others,ml
chard,5,Vegetables ,g
cheddar,663,"Eggs, milk and milk products",g
cheese,476,"Eggs, milk and milk products",g
cherry,395,Fruits,g
chestnut,84,"Grain, nuts and baking products",g
chicken,1448,"Meat, sausages and fish",g
chicken broth,416,Others,ml
chickpea,14,"Pasta, rice and pulses  ",g
chile,75,Herbs and spices ,g
chile pepper,239,Herbs and spices ,g
chili,318,Herbs and spices ,g
chive,59,Vegetables ,g
chocolate,1677,Fats and oils,g
cilantro,209,Vegetables ,g
cinnamon,1387,Herbs and spices ,g
citron,21,Fruits,g
citrus,14,Fruits,g
clam,64,"Meat, sausages and fish",g
clove,378,Vegetables ,g
cobbler topping,1,Others,g
cocktail,58,Others,ml
cocktail sauce,24,Others,ml
cocoa,33,"Grain, nuts and baking products",g
cocoa powder,477,"Grain, nuts and baking products",g
coconut,537,Fruits,g
cod,27,"Meat, sausages and fish",g
coffee,153,"Grain, nuts and baking products",g
cola,38,Others,ml
collard greens,4,Vegetables ,g
cookie,27,Fats and oils,g
cookies,35,Fats and oils,g
cooking spray,2,Others,ml
coriander,34,Vegetables ,g
corn,296,Vegetables ,g
corn oil,14,Fats and oils,ml
corn syrup,269,Others,ml
cornmeal,99,"Grain, nuts and baking products",g
cornstarch,367,"Grain, nuts and baking products",g
cottage cheese,93,"Eggs, milk and milk products",g
couscous,10,"Grain, nuts and baking products",g
crab,142,"Meat, sausages and fish",g
crackers,1,"Grain, nuts and baking products",g
cranberry,181,Fruits,g
cranberry sauce,52,Others,ml
cream,713,"Eggs, milk and milk products",g
cream cheese,991,"Eggs, milk and milk products",g
creole seasoning,4,Others,g
crepes,2,Others,whole
crescent roll,41,Others,whole
cucumber,120,Vegetables ,g
cumin,226,Herbs and spices ,g
currant,45,Fruits,g
curry,114,Herbs and spices ,g
custard,11,Others,g
dates,128,Fruits,g
dill,149,Herbs and spices ,g
dough,29,"Grain, nuts and baking products",g
dressing,1,Fats and oils,ml
dried fruit,1,Fruits,g
duck,4,"Meat, sausages and fish",g
duck sauce,3,Others,ml
egg,4880,"Eggs, milk and milk products",whole
eggplant,45,Vegetables ,g
endive,2,Vegetables ,g
escarole,5,Vegetables ,g
fajita seasoning,1,Others,g
fat,3,Fats and oils,ml
fennel,25,Herbs and spices ,g
fig,21,Fruits,g
file powder,1,Herbs and spices ,g
filling,15,Others,g
fish,16,"Meat, sausages and fish",g
flour,4158,"Grain, nuts and baking products",g
fontina,5,"Eggs, milk and milk products",g
food coloring,142,Others,ml
frosting,5,Others,g
fruit,113,Fruits,g
fruit juice,16,Fruits,ml
ganache,2,"Grain, nuts and baking products",g
garlic,2116,Vegetables ,g
gelatin,72,Fats and oils,g
ghee,2,"Eggs, milk and milk products",g
gin,18,Others,ml
ginger,461,Vegetables ,g
goat cheese,13,"Eggs, milk and milk products",g
golden syrup,10,Others,ml
goose,3,"Meat, sausages and fish",g
grains,66,"Grain, nuts and baking products",g
grand marnier,5,Others,ml
granola,10,"Grain, nuts and baking products",g
grape,87,Fruits,g
grapefruit,5,Fruits,g
gravy,16,Others,ml
green bean,120,Vegetables ,g
green onion,552,Vegetables ,g
green pepper,1,Vegetables ,g
ground beef,426,"Meat, sausages and fish",g
ground lamb,6,"Meat, sausages and fish",g
guava,3,Fruits,g
gum drop,3,Others,g
gumdrop,10,Others,g
gummi,3,Others,g
haddock,5,"Meat, sausages and fish",g
halibut,10,"Meat, sausages and fish",g
ham,470,"Meat, sausages and fish",g
hazelnut,50,"Grain, nuts and baking products",g
herb,16,Herbs and spices ,g
honey,353,Fats and oils,ml
honeydew,5,Fruits,g
horseradish,66,Vegetables ,g
hot pepper,206,Fruits,g
ice,133,Others,g
ice cream,81,Others,g
icing,2,"Grain, nuts and baking products",g
italian seasoning,59,Others,g
kale,8,Vegetables ,g
ketchup,205,Others,ml
kirsch,3,Others,ml
kiwi,16,Fruits,g
kumquat,3,Fruits,g
lamb,11,"Meat, sausages and fish",g
lamb chop,1,"Meat, sausages and fish",g
lamb shank,1,"Meat, sausages and fish",g
lard,30,Fats and oils,g
lasagna,30,Others,whole
lavender flower,2,Herbs and spices ,g
lecithin,3,Fats and oils,g
leek,39,Vegetables ,g
lemon,636,Fruits,g
lemon juice,899,Fruits,ml
lentil,37,Vegetables ,g
